"symbol","date","open","high","low","close","volume","adjusted"
"ADBE",1999-07-12,10.859375,11,10.5,10.984375,4828000,10.8975486755371
"ADBE",1999-07-13,10.8984384536743,11.140625,10.8046884536743,10.9453134536743,4836000,10.8587951660156
"ADBE",1999-07-14,11,11.265625,11,11.25,7978400,11.1610727310181
"ADBE",1999-07-15,11.2578134536743,11.46875,11.078125,11.25,6679200,11.1610727310181
"ADBE",1999-07-16,11.2109384536743,11.328125,11.09375,11.25,5057600,11.1610727310181
"ADBE",1999-07-19,11.21875,11.703125,11.21875,11.46875,7548800,11.3780965805054
"ADBE",1999-07-20,11.421875,11.515625,11.125,11.171875,6203200,11.083568572998
"ADBE",1999-07-21,11.25,11.4375,11.125,11.28125,5028000,11.1920795440674
"ADBE",1999-07-22,11.265625,11.28125,10.65625,10.671875,6952800,10.5875186920166
"ADBE",1999-07-23,10.75,10.9921884536743,10.703125,10.828125,4752000,10.7425346374512
"ADBE",1999-07-26,10.625,10.9375,10.59375,10.7109384536743,7619200,10.6262731552124
"ADBE",1999-07-27,10.765625,10.9375,10.6484384536743,10.9296884536743,4739200,10.8432941436768
"ADBE",1999-07-28,10.9296884536743,10.984375,10.703125,10.828125,3938400,10.7425346374512
"ADBE",1999-07-29,10.71875,10.8828134536743,10.59375,10.59375,9651200,10.510009765625
"ADBE",1999-07-30,10.6796884536743,10.90625,10.6796884536743,10.71875,3753600,10.6340227127075
"ADBE",1999-08-02,10.671875,10.96875,10.5,10.671875,3297600,10.5875186920166
"ADBE",1999-08-03,10.78125,10.8828134536743,10.640625,10.8515634536743,3716000,10.7657871246338
"ADBE",1999-08-04,10.859375,10.9453134536743,10.375,10.421875,4320000,10.3394947052002
"ADBE",1999-08-05,10.375,10.984375,10.3125,10.9375,7951200,10.8510437011719
"ADBE",1999-08-06,10.8515634536743,11.03125,10.671875,10.890625,4503200,10.804539680481
"ADBE",1999-08-09,10.96875,11.0078134536743,10.7109384536743,10.890625,3851200,10.804539680481
